apn,address,zoning,zoning_full,area_sqft,width_ft,length_ft
4230-023-035,,MU-1,Mixed Use 1,2500,25.0,100.1
4230-023-022,12964 W WASHINGTON BLVD,MU-1,Mixed Use 1,2501,25.0,100.1
4233-026-013,11415 W WASHINGTON BLVD,MU-1,Mixed Use 1,2498,25.0,100.0
4204-006-168,,MU-I,Mixed Use Industrial,2632,26.2,104.7
4230-023-005,12828 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.0
4230-023-002,12804 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.0
4230-016-002,13114 W WASHINGTON BLVD,MU-1,Mixed Use 1,2538,24.2,111.4
4216-026-008,,MU-I,Mixed Use Industrial,2552,26.0,100.2
4230-016-004,,MU-1,Mixed Use 1,2537,24.2,111.4
4205-017-012,8564 WASHINGTON BLVD,MU-1,Mixed Use 1,2253,25.1,90.0
4206-030-009,3838 MAIN ST,MU-DT,Mixed Use Downtown,2506,25.0,100.8
4236-024-004,13015 W WASHINGTON BLVD,MU-1,Mixed Use 1,2497,25.0,100.0
4213-022-007,4051 SEPULVEDA BLVD,MU-2,Mixed Use 2,2150,25.0,102.0
4312-027-024,,MU-1,Mixed Use 1,2250,25.0,90.0
4213-008-002,,MU-1,Mixed Use 1,2242,25.5,104.0
4208-002-014,10119 WASHINGTON BLVD,MU-MD,Mixed Use Medium,2501,25.0,101.3
4215-015-014,4335 SEPULVEDA BLVD,MU-1,Mixed Use 1,1999,25.0,80.4
4208-018-005,10801 WASHINGTON BLVD,MU-1,Mixed Use 1,3022,29.4,110.5
4209-001-020,,MU-N,Mixed Use Neighborhood,2498,25.0,100.0
4233-030-003,11314 WASHINGTON PL,MU-1,Mixed Use 1,2499,25.2,99.9
4236-023-002,12967 W WASHINGTON BLVD,MU-1,Mixed Use 1,2502,25.1,100.0
4206-030-006,3826 MAIN ST,MU-DT,Mixed Use Downtown,2510,25.1,100.8
4210-019-022,4251 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2251,25.0,90.1
4231-018-034,12408 W WASHINGTON BLVD,MU-1,Mixed Use 1,2501,25.0,100.7
4208-015-005,10724 WASHINGTON BLVD,MU-1,Mixed Use 1,2245,25.0,90.0
4213-023-019,4135 SEPULVEDA BLVD,MU-2,Mixed Use 2,2003,25.0,80.6
4230-023-021,12962 W WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.1
4233-006-003,11609 W WASHINGTON BLVD,MU-1,Mixed Use 1,2509,25.0,102.4
4215-015-025,4361 SEPULVEDA BLVD,MU-1,Mixed Use 1,2000,25.0,80.4
4205-018-015,8592 WASHINGTON BLVD,MU-1,Mixed Use 1,2505,25.1,100.0
4134-001-901,,MU-I,Mixed Use Industrial,2493,25.0,100.0
4214-003-043,11316 MATTESON AVE,R1,Single Family,2628,25.0,105.1
4233-003-010,11527 W WASHINGTON BLVD,MU-1,Mixed Use 1,2559,29.3,100.2
5065-014-005,,MU-2,Mixed Use 2,2500,25.0,100.0
5065-003-002,6005 WASHINGTON BLVD,MU-1,Mixed Use 1,2998,30.0,100.0
4232-015-041,,MU-1,Mixed Use 1,2500,25.0,100.0
4208-014-043,,MU-1,Mixed Use 1,2147,25.4,90.1
4203-015-029,,MU-1,Mixed Use 1,2500,25.0,100.0
4213-022-017,4023 SEPULVEDA BLVD,MU-2,Mixed Use 2,2478,25.0,100.0
4231-002-053,4051 S CENTINELA AVE,RMD,Medium Density Multi Family,2497,25.0,100.1
4215-019-020,4439 SEPULVEDA BLVD,MU-1,Mixed Use 1,2254,25.1,90.1
4206-030-008,3834 MAIN ST,MU-DT,Mixed Use Downtown,2516,25.2,100.7
4134-001-014,5730 BANKFIELD AVE,MU-I,Mixed Use Industrial,2495,25.0,100.0
4213-022-010,4043 SEPULVEDA BLVD,MU-2,Mixed Use 2,2500,25.0,100.0
4207-001-033,9531 CULVER BLVD,MU-DT,Mixed Use Downtown,2529,25.0,111.9
4216-026-007,6318 W SLAUSON AVE,MU-I,Mixed Use Industrial,2501,25.0,100.3
4230-023-013,12910 W WASHINGTON BLVD,MU-1,Mixed Use 1,2496,25.0,99.9
4215-015-013,4333 SEPULVEDA BLVD,MU-1,Mixed Use 1,1999,25.0,80.4
4207-001-904,9527 CULVER BLVD,MU-DT,Mixed Use Downtown,2523,24.9,111.9
4215-015-010,4327 SEPULVEDA BLVD,MU-1,Mixed Use 1,1999,25.0,80.4
4215-012-010,4360 SEPULVEDA BLVD,MU-1,Mixed Use 1,2499,25.0,100.4
4203-015-027,5426 SEPULVEDA BLVD,MU-1,Mixed Use 1,2500,25.0,100.0
4206-033-037,3737 ROBERTSON BLVD,MU-HD,Mixed Use High,2550,25.0,102.0
4213-020-003,3909 SEPULVEDA BLVD,MU-2,Mixed Use 2,2546,25.1,101.9
4233-031-015,11272 WASHINGTON PL,MU-1,Mixed Use 1,2496,25.0,100.0
4215-015-042,,MU-1,Mixed Use 1,2344,26.1,90.5
4232-015-043,12112 W WASHINGTON BLVD,MU-1,Mixed Use 1,2499,25.0,100.0
4209-024-010,4240 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2497,25.0,100.0
4217-008-014,,MU-1,Mixed Use 1,3036,29.9,118.9
4205-018-016,8590 WASHINGTON BLVD,MU-1,Mixed Use 1,2497,25.0,100.0
4235-019-001,12303 WASHINGTON PL,RMD,Medium Density Multi Family,2125,25.2,90.2
4230-017-005,13016 W WASHINGTON BLVD,MU-1,Mixed Use 1,2537,24.2,111.4
4233-029-014,4110 BLEDSOE AVE,R1,Single Family,2551,25.0,102.3
4215-012-007,4354 SEPULVEDA BLVD,MU-1,Mixed Use 1,2499,25.0,100.4
4213-024-008,,MU-2,Mixed Use 2,2343,26.0,90.5
4210-002-029,5037 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2562,25.0,103.1
4213-008-001,,MU-1,Mixed Use 1,2247,25.5,104.0
5065-016-003,5853 WASHINGTON BLVD,MU-1,Mixed Use 1,2500,25.0,100.0
4230-023-016,,MU-1,Mixed Use 1,2492,25.0,99.7
4236-021-003,12835 W WASHINGTON BLVD,MU-1,Mixed Use 1,2501,25.0,100.0
4213-023-024,,MU-2,Mixed Use 2,1948,25.0,80.1
4205-013-012,6142 WASHINGTON BLVD,MU-1,Mixed Use 1,2249,25.0,90.0
4210-024-011,4398 ELENDA ST,R1,Single Family,2286,25.9,91.7
4213-020-002,,MU-2,Mixed Use 2,2550,25.0,101.9
4230-023-012,12908 W WASHINGTON BLVD,MU-1,Mixed Use 1,2496,25.0,99.9
4206-033-935,,MU-HD,Mixed Use High,2568,28.9,101.8
4206-033-011,3818 WILLAT AVE,MU-HD,Mixed Use High,2129,25.1,85.6
4213-020-007,3923 SEPULVEDA BLVD,MU-2,Mixed Use 2,2550,25.0,101.8
5065-014-004,,MU-2,Mixed Use 2,2503,25.1,100.0
4208-015-003,10720 WASHINGTON BLVD,MU-1,Mixed Use 1,2251,25.1,90.0
5065-003-010,6031 WASHINGTON BLVD,MU-1,Mixed Use 1,2997,30.0,100.0
4231-018-035,12406 W WASHINGTON BLVD,MU-1,Mixed Use 1,2499,25.0,100.7
4208-015-004,10722 WASHINGTON BLVD,MU-1,Mixed Use 1,2248,25.1,90.0
4214-004-003,11310 VENICE BLVD,MU-2,Mixed Use 2,2510,25.1,100.4
4215-015-041,11220 CULVER BLVD,MU-1,Mixed Use 1,2338,26.0,90.5
4213-016-011,,MU-2,Mixed Use 2,2632,25.0,108.7
4312-020-014,,MU-1,Mixed Use 1,2249,25.0,90.1
4233-032-013,11287 WASHINGTON BLVD,MU-1,Mixed Use 1,2501,25.0,100.0
5065-016-002,5851 WASHINGTON BLVD,MU-1,Mixed Use 1,2504,25.1,100.1
4213-011-004,,MU-1,Mixed Use 1,2752,25.0,110.1
4236-020-004,,MU-1,Mixed Use 1,2502,25.0,100.1
4207-001-029,9517 CULVER BLVD,MU-DT,Mixed Use Downtown,2533,25.0,112.2
4208-015-013,10764 WASHINGTON BLVD,MU-1,Mixed Use 1,2254,25.0,90.0
4205-014-013,8526 WASHINGTON BLVD,MU-1,Mixed Use 1,2249,25.0,90.1
4312-027-013,8674 WASHINGTON BLVD,MU-1,Mixed Use 1,2499,25.0,100.0
5065-015-007,,MU-2,Mixed Use 2,2500,25.0,100.0
4232-015-002,12124 W WASHINGTON BLVD,MU-1,Mixed Use 1,2499,25.0,100.0
4217-008-017,,MU-1,Mixed Use 1,2704,25.0,118.6
4213-024-017,4219 SEPULVEDA BLVD,MU-2,Mixed Use 2,2004,25.0,80.7
4210-002-035,5027 OVERLAND AVE,MU-N,Mixed Use Neighborhood,2743,25.0,110.4
4213-019-011,,MU-2,Mixed Use 2,2376,25.0,95.5
4206-030-010,3840 MAIN ST,MU-DT,Mixed Use Downtown,2516,25.2,100.7
4233-030-017,,RLD,Low Density Multi Family,2374,25.0,110.0
4230-009-003,13216 WASHINGTON BLVD,MU-1,Mixed Use 1,2485,24.2,109.4
4231-003-001,12467 W WASHINGTON BLVD,MU-1,Mixed Use 1,2570,25.7,114.8
4213-016-012,,MU-2,Mixed Use 2,2467,25.0,102.0
